"zcta","tot_pop","white","black","alaskan_native","asian","pacific_islan","other","mixed_race"
"37880",3772,3509,102,0,16,0,74,142
"37881",2023,1975,0,25,0,0,0,46
"37882",3036,2994,8,9,24,0,0,2
"37885",5854,5396,96,16,24,0,19,606
"37886",4594,4516,0,0,19,0,0,118
"37887",7651,6163,1278,115,19,4,44,56
"37888",3406,3348,0,19,19,0,0,40
"37890",7208,6870,10,1,2,6,59,520
"37891",3628,3613,0,0,0,0,0,30
"37892",2034,1985,11,0,0,0,11,54
"37902",2463,2195,151,9,69,0,5,68
"37909",16321,13481,1380,43,423,53,376,1130
"37912",22154,16171,3681,35,311,0,450,3012
"37914",19912,10905,7805,38,128,17,60,1918
"37915",5055,1971,2923,0,0,0,55,212
"37916",13711,11601,1101,10,500,20,66,826
"37917",25048,19017,3980,59,263,0,325,2808
"37918",45107,40358,2854,114,383,0,359,2078
"37919",29637,26337,1525,109,841,0,156,1338
"37920",40678,35645,2717,45,435,0,950,1772
"37921",27522,20366,5081,146,300,0,814,1630
"37922",37709,33084,1338,192,2142,0,153,1600
"37923",31548,27245,1953,152,896,30,785,974
"37924",12312,10844,858,1,455,0,10,288
"37931",28440,25247,1329,85,580,13,253,1866
"37932",19206,17136,399,0,885,0,220,1132
"37934",27152,24404,212,44,1735,0,130,1254
"37938",17230,16650,89,20,81,0,103,574
"38001",4350,3256,494,0,6,10,429,310
"38002",40070,30204,7695,189,891,0,255,1672
"38004",11094,9614,1148,0,61,0,50,442
"38006",5530,4579,620,7,12,0,136,352
"38007",69,69,0,0,0,0,0,0
"38008",8726,3182,5304,54,35,0,7,288
"38011",9429,8093,888,53,62,0,20,626
"38012",12658,4845,7313,6,0,6,379,218
"38015",2249,1994,181,13,2,0,1,116
"38016",45424,17592,23326,18,2658,35,311,2968
"38017",55884,41763,7075,213,5325,0,416,2184
"38018",37269,17046,15760,0,2252,6,662,3086
"38019",16137,10454,5181,0,0,0,72,860
"38021",27,27,0,0,0,0,0,0
"38023",6683,5629,663,33,99,0,0,518
"38024",26627,20770,4103,154,244,13,153,2380
"38028",7478,5503,1732,0,59,0,142,84
"38029",27,27,0,0,0,0,0,0
"38030",444,444,0,0,0,0,0,0
"38034",2968,2490,230,4,22,8,94,240
"38036",612,192,417,0,0,0,3,0
"38037",1558,1084,428,0,0,0,0,92
"38039",1882,314,1543,0,0,0,0,50
"38040",4574,3902,529,16,0,0,11,232
"38041",4752,2475,2062,93,37,0,20,130
"38042",672,469,193,0,6,0,0,8
"38044",638,603,31,0,0,0,0,8
"38046",60,60,0,0,0,0,0,0
"38047",194,194,0,0,0,0,0,0
"38049",4271,2061,1995,0,21,0,159,70
"38050",733,272,373,0,0,0,54,68
"38052",4023,3578,267,0,127,0,13,76
"38053",25816,17258,6394,102,198,0,596,2536
"38054",289,182,53,8,7,10,8,42
"38057",3595,2116,1428,15,0,0,11,50
"38058",9981,8298,1091,0,158,0,286,296
"38059",7928,6822,423,30,1,57,292,606
"38060",10403,8381,1810,0,52,0,53,214
"38061",1185,949,236,0,0,0,0,0
"38063",16154,9704,5851,37,44,0,54,928
"38066",2786,1915,786,2,8,0,21,108
"38067",1230,1051,179,0,0,0,0,0
"38068",10850,6330,4000,99,107,0,72,484
"38069",2146,791,1286,11,11,0,0,94
"38070",94,42,52,0,0,0,0,0
"38075",6744,3681,2803,9,17,8,114,224
"38076",1154,787,307,0,0,0,1,118
"38077",38,38,0,0,0,0,0,0
"38079",5023,3115,1658,38,16,12,83,202
"38080",2441,1953,366,0,0,0,9,226
"38103",14713,8852,4660,0,745,0,162,588
"38104",23812,15640,6179,98,722,0,381,1584
"38105",5638,856,4414,0,185,10,106,134
"38106",24256,744,23354,0,19,6,50,166
"38107",15477,3058,11803,23,147,0,168,556
"38108",17258,4617,10926,1,33,0,1561,240
"38109",44846,1302,43087,0,10,0,129,636
"38111",42146,17931,21248,308,606,0,999,2108
"38112",16046,6040,8672,0,176,25,860,546
"38114",23940,1029,22428,30,18,67,204,328
"38115",38817,3194,32001,48,200,0,2934,880
"38116",42057,1969,38914,188,34,10,539,806
"38117",27162,22382,3162,98,463,0,483,1148
