"store_name","store_id","review_count","ratings","categories","food_desert"
"Jersey Mike's Subs","Tkwj9hwMMfFUXjnvfCazrw",32,4.5,"hotdogs,delis,sandwiches",1
"Blaze Pizza","E9Z9hfVdifoalUhNyf7fxg",115,3.5,"salad,pizza,hotdogs",1
"Zo's Good Burger - Dearborn","UxGilCouJPZ7e3HmhQFngA",204,4.5,"halal,hotdogs,burgers",1
"Taystee's Burgers","POpTWoya0ebFqzhcHAu2VA",419,4.5,"burgers,hotdogs",1
"Poor Boy Too","oK-FjV-bgrKLABvuVP57kQ",7,4.5,"hotdogs,tradamerican,burgers",1
"Jaenicke's Drive In","dAc59c6Iq6t_vLoydVytKg",59,3,"hotdogs",1
"El Burrito Loco","0AdJ2mhnM7JllkcpUAfmwA",32,4,"mexican,hotdogs",1
"Windy Hill Grill","Jircwd0MFLQhU1KeySgkng",32,4.5,"hotdogs,italian,sandwiches",1
"Poor Boy","0VfCJhykpaRWNEGLiX5h7g",47,4,"greek,tradamerican,hotdogs",1
"Wendy's","5UOmGBqEstf4iiYLJ6Yqbw",10,3.5,"hotdogs,burgers",1
"Arby's","XaOkrcRMTpwne0TvkO_deQ",19,3,"hotdogs,sandwiches",1
"Frankie's Hot Dogs","7LmC5f974p1j66xtCqwpBw",68,4,"tradamerican,hotdog,hotdogs",1
"Hugo's Taco Truck","YmMYVfwjaebp3B5OPsx_gw",38,4,"mexican,hotdogs",1
"Frankie's Hot Dogs","4RzCBGn3_I_6bWeXteJ-tQ",82,4.5,"hotdog,hotdogs",1
"McDonald's","_66ToXksGLo3pLripz2-eQ",16,2.5,"coffee,burgers,hotdogs",1
"Pizza Hut","sSk3P1pzeEXHm0gdDkP56g",19,2.5,"pizza,chicken_wings,hotdogs",1
"Sonic Drive-In","uaVWjbdMObfFrHZFLQX3sA",22,2.5,"burgers,hotdogs,icecream",1
"Big Game Sports Bar","RbIz17VYlYWMHNe9Vrj_zA",12,3,"sportsbars,hotdogs",1
"Allsups","dhFA8KVSyf0dGQbwCLKdPw",11,3,"convenience,servicestations,hotdogs",1
"Pieology Pizzeria, Delta Shores Sacramento","Bp0mUCVO0eMKOJpaeR6_4A",269,3.5,"pizza,hotdogs",1
"Fire Wings - Delta Shores","icOF_2RMwFOjqLpe61lKIA",297,3.5,"chicken_wings,hotdogs",1
"Scott's Burger Shack","QNH0w9xoCRwUrXmjEyX6Tg",364,4,"burgers,hotdogs,tradamerican",1
"In-N-Out Burger","Xn1myBiUwhOhs4IQEmq_ng",177,4,"hotdogs,burgers",1
"Taco Fresco Burger & Fries","oJM5ulBtvjbaob7o-VGS1A",378,4.5,"mexican,burgers,hotdogs",1
"Sonic Drive-In","SGq0vIL9AzjgSyu5r0a9XA",5,1.5,"burgers,hotdogs,icecream",1
"McDonald's","-b8M6WP65PTqN6GGdqeeQQ",10,1.5,"burgers,hotdogs,coffee",1
"Arby's","KKyb4uL3aqLGt0ea3uylaA",2,3.5,"hotdogs,sandwiches",1
"Taco Bell","S_QswgCJnE6xymK64TVONw",3,2.5,"hotdogs,mexican",1
