"store_name","store_id","review_count","ratings","categories","food_desert"
"Frey's Better Foods","KK7wz2QGkpY-He7MfnqiKQ",8,5,"healthmarkets,grocery,vitaminssupplements",1
"Giant Eagle","T3syhQWse9WtFMoWk-oN6g",35,2.5,"grocery,drugstores",1
"Hanini's Market","YV2-i3g657ZP-vDER2dv7w",14,4,"grocery,delis,sandwiches",1
"Labriola's Italian Market","opjEyudWKz_AJreQs959Aw",27,3.5,"sandwiches,grocery,italian",1
"Shop ‘n Save","NxFuteLIIgD96vLSowo-3w",19,4,"grocery",1
"ALDI","u4jR8L7hMFrhxrZq2NNTmg",15,4.5,"grocery,markets,organic_stores",1
"Brookshire's","TRU1EQez5K0lozxMSLW2Yg",9,4,"delis,grocery,bakeries",1
"Al Noor Supermarket & Restaurant","I9Er4dtqWvunjb7gD9BtOQ",12,4.5,"grocery,greek,mideastern",1
"Whole Foods Market","ZB32uNeSxqPmj1zHlA7CuQ",37,4,"grocery,healthmarkets,organic_stores",1
"Fairfield Market & Cafe","q5QChhGNVFHH_dLIpl1ZZw",18,5,"grocery,cafes",1
"Monjunis Italian Cafe and Grocery","3kGlYNys7IvJ5T6rmnIX7g",84,3.5,"italian,grocery",1
"Happy Hollow Grocery","ioEKtk5r_2cvRh8QG4Gl2A",9,3,"grocery,tubing,menscloth",1
"Leakey Mercantile","Ki9U-WEqKNU9dFGOzloRSg",11,3.5,"grocery",1
"Alvarez Food Mart","sNsaa1r68n2FL3TnLPnHIA",4,5,"grocery,meats",1
"Utopia General Store","umkOyjDSXo5eF-upEKZB7g",7,3.5,"grocery",1
"The Country Mart","SWts9XdwG0408-XjxlXZkQ",3,5,"grocery,butcher,meats",1
"Family Asian Market","0YKplE-R9wdoJFV2gYimiQ",3,5,"grocery",1
"Houston's H&W Meats","EqBxnLgpkW3ytsXOPtuTXQ",8,4.5,"grocery,meats",1
"Publix Supermarkets","xaa-tqoZazOdye8ipk22Sg",22,4,"grocery",1
"Publix Super Markets","rFyPZ96yBjilBcxXLyPVSQ",27,4,"grocery",1
"Publix Super Markets","6fah3klxYw7S-oVWgtkU7g",27,2.5,"bakeries,grocery",1
"La Michoacana","TTTiY3lNcn5FLzQ_msMK8g",7,4,"grocery,mexican",1
"Makkah Market","biLbVdhRXFquX6PjovkcrA",4,4.5,"grocery",1
"Market District","Dfc4yc45tQ8za4TJ5Zk25Q",20,4,"grocery,drugstores",1
"ALDI","bFCEikiDgfozIci3VbV6bQ",11,4,"grocery,markets,organic_stores",1
"Mi Pais Super Market","FZzJIvCRXm3aAfHAAZdx2g",5,5,"grocery",1
