"","Year","LocationName","Geolocation","TotalPopulation","OBESITY","DEPRESSION","CANCER","CHOLSCREEN","CHD"
"141",2019,2538,"POINT (-70.64914478 41.77703654)",3603,29.5,21.8,6.9,89,6.1
"142",2019,1341,"POINT (-72.70510931 42.50450884)",1833,27.1,21.7,8,93.5,5.1
"143",2019,1606,"POINT (-71.79553252 42.31444372)",19077,31.7,21,7.6,90.2,6
"144",2019,2186,"POINT (-71.08455255 42.24100606)",27003,22.3,18.2,7.8,92.5,5
"145",2019,2122,"POINT (-71.0529894 42.2949918)",23479,24.9,18.9,5.3,87.3,5.4
"146",2019,2191,"POINT (-70.94181881 42.24243111)",8457,23.6,20.2,8.1,91.9,5.8
"147",2019,1339,"POINT (-72.89010841 42.60795767)",1438,29.4,23.2,8.4,91.5,6.8
"148",2019,1821,"POINT (-71.2521908 42.55016427)",30310,23.9,20.9,7.1,91.4,4.9
"149",2019,2019,"POINT (-71.47408231 42.07775571)",16332,23.3,20.5,7,91.3,4.7
"150",2019,1529,"POINT (-71.57752637 42.03893921)",3190,31.9,22.9,6.5,89.8,4.8
"151",2019,1752,"POINT (-71.54680728 42.34939777)",38499,24.7,20.7,6.9,90.5,5.2
"152",2019,2564,"POINT (-69.97908491 41.26423686)",310,25,19.6,9.5,94.2,6.4
"153",2019,2668,"POINT (-70.36115444 41.71041075)",3278,23.5,19.8,8.9,93.8,5.7
"154",2019,2451,"POINT (-71.25712747 42.39819939)",17426,22.2,18.5,7,91.6,4.6
"155",2019,2556,"POINT (-70.62794102 41.63537401)",3115,21.7,17.7,11.2,95.4,6.8
"156",2019,1084,"POINT (-72.88089812 42.39035856)",176,25.9,21.3,9.1,93.1,6.9
"157",2019,2067,"POINT (-71.18145157 42.10813277)",17486,20.9,17.5,7.7,94.3,4.5
"158",2019,2539,"POINT (-70.54195483 41.37913121)",4067,27.3,21.2,8,91.9,6.1
"159",2019,1001,"POINT (-72.62581515 42.06255509)",16769,25.8,22.1,9.1,91.8,6.9
"160",2019,1915,"POINT (-70.86209973 42.56882033)",39502,23.9,19.9,7.3,90.4,5.3
"161",2019,1071,"POINT (-72.85998915 42.16035011)",1596,26.9,23.4,7.2,91.1,5.4
"162",2019,2113,"POINT (-71.05523575 42.36533484)",6915,16.1,20.3,4.5,87.3,2.5
"163",2019,1890,"POINT (-71.14632419 42.45177958)",21382,20.9,17.6,8.7,94.8,5
"164",2019,1011,"POINT (-72.95943745 42.29196844)",1370,26.7,22.7,7.8,91.7,6
"165",2019,1069,"POINT (-72.305378 42.1881815)",8469,27.1,23.4,7.9,90.6,6.3
"166",2019,2748,"POINT (-70.9797939 41.55998858)",11442,28.9,21.2,9.8,92.9,7
"167",2019,2054,"POINT (-71.36246285 42.16930534)",7891,22.5,19.6,7.4,92.8,4.6
"168",2019,1525,"POINT (-71.63244201 42.10671332)",290,29.7,22,6.1,89.7,3.9
"169",2019,1033,"POINT (-72.50361393 42.26081071)",6227,24.1,21.7,7.6,92.1,5.2
"170",2019,1541,"POINT (-71.88131116 42.45649302)",3413,29.7,20,8.1,94.1,5.2
