"zcta","year","population","aland10","count_sales_445110","popden_sales_445110","aden_sales_445110"
2119,2017,28152,1.59752,31,1.101165,19.40508
2120,2017,15719,0.6206515,4,0.2544691,6.444841
2121,2017,28479,1.745318,14,0.4915903,8.021461
2122,2017,24643,2.034978,17,0.689851,8.3539
2124,2017,55074,2.995492,34,0.6173512,11.35039
2125,2017,35254,2.132316,25,0.7091394,11.72434
2126,2017,29141,2.079532,14,0.4804228,6.732285
2127,2017,37257,2.023076,12,0.3220871,5.931563
2128,2017,46655,4.850958,51,1.09313,10.51339
2129,2017,18901,1.351068,6,0.3174435,4.440933
2130,2017,39435,3.334095,25,0.6339546,7.498288
2131,2017,32819,2.58684,18,0.5484628,6.958295
2132,2017,28505,4.559426,10,0.3508157,2.193258
2134,2017,18057,1.326324,21,1.162984,15.83323
2135,2017,42644,2.634095,13,0.3048494,4.935281
2136,2017,33084,4.590782,19,0.5742958,4.138728
2138,2017,37668,2.740698,15,0.398216,5.473058
2139,2017,36979,1.557774,24,0.649017,15.4066
2140,2017,19737,1.154734,9,0.4559963,7.794001
2141,2017,13664,0.6437833,3,0.219555,4.659953
2142,2017,2929,0.2779523,0,0,0
2143,2017,26773,1.544032,18,0.6723192,11.65779
2144,2017,24682,1.080825,9,0.3646382,8.326969
2145,2017,26430,1.395991,17,0.6432084,12.17773
2148,2017,61375,5.045171,42,0.6843177,8.324792
2149,2017,44993,3.423095,34,0.7556731,9.932533
2150,2017,39263,2.211186,25,0.6367318,11.30615
2151,2017,53873,5.873042,27,0.5011787,4.597277
2152,2017,18391,1.972421,2,0.1087488,1.013982
2155,2017,59779,8.19621,20,0.3345656,2.440152
2163,2017,2569,0.0991232,0,0,0
2169,2017,56541,8.971393,28,0.4952159,3.121032
2170,2017,19434,2.082879,7,0.3601935,3.360733
2171,2017,17849,2.452584,7,0.3921788,2.854133
2176,2017,28132,4.682441,7,0.248827,1.494947
2180,2017,21967,6.015007,8,0.3641826,1.330007
2184,2017,37082,13.76232,11,0.2966399,0.7992841
2186,2017,27527,13.01594,3,0.1089839,0.2304866
2188,2017,15301,3.719761,5,0.326776,1.344172
2189,2017,15146,3.806457,2,0.1320481,0.5254229
2190,2017,17415,7.110045,6,0.3445306,0.8438765
2191,2017,8028,2.024081,0,0,0
2199,2017,1177,0.05723,4,3.398471,69.89342
2203,2017,27,0.0317264,1,37.03704,31.51949
2210,2017,2609,0.9609256,2,0.7665772,2.081326
2215,2017,25023,0.7650186,6,0.2397794,7.842947
2301,2017,61320,12.44332,28,0.456621,2.250204
2302,2017,33841,8.885573,10,0.2954995,1.12542
2322,2017,4468,4.291645,4,0.8952551,0.9320436
2324,2017,27434,27.24649,3,0.1093534,0.1101059
2330,2017,11617,37.3058,1,0.0860807,0.0268055
2332,2017,15572,23.70289,4,0.2568713,0.1687558
2333,2017,14301,17.23147,5,0.3496259,0.2901668
2338,2017,7739,15.97395,2,0.2584313,0.1252038
2339,2017,14328,15.53753,10,0.6979342,0.6436029
2341,2017,10560,15.02046,3,0.2840909,0.1997276
2343,2017,10753,7.009978,1,0.0929973,0.1426538
2346,2017,24166,68.83823,6,0.2482827,0.0871609
2347,2017,11292,29.80136,4,0.3542331,0.1342221
2351,2017,16275,9.670695,7,0.4301075,0.7238362
2356,2017,12885,13.71052,3,0.2328289,0.2188102
2357,2017,1178,0.4811609,0,0,0
2359,2017,18230,21.7821,8,0.4388371,0.367274
2360,2017,58500,95.48572,16,0.2735043,0.1675643
2364,2017,13210,18.64313,3,0.2271007,0.1609172
2366,2017,195,0.946531,0,0,0
2367,2017,2912,14.68087,0,0,0
2368,2017,33980,10.07364,10,0.2942908,0.99269
2370,2017,17849,10.30899,3,0.1680766,0.2910081
2375,2017,9938,14.56866,2,0.2012477,0.137281
2379,2017,7117,15.32575,6,0.8430518,0.3914979
2382,2017,14864,6.935926,6,0.4036599,0.8650612
2420,2017,14579,6.586815,3,0.2057754,0.4554553
2421,2017,18760,9.848031,2,0.1066098,0.2030863
2445,2017,20774,2.603763,6,0.2888226,2.304358
2446,2017,30113,1.287014,14,0.4649155,10.87789
2451,2017,18646,5.525457,11,0.5899388,1.990785
2452,2017,15470,3.701335,2,0.1292825,0.5403455
2453,2017,28696,3.507941,23,0.8015054,6.556553
2457,2017,1680,0.1595521,0,0,0
2458,2017,12465,1.996668,6,0.4813478,3.005006
2459,2017,19473,5.003371,6,0.3081189,1.199192
2460,2017,9911,1.343962,3,0.302694,2.232206
2461,2017,7214,1.455192,4,0.5544774,2.748777
2462,2017,1520,0.5279291,0,0,0
2464,2017,3155,0.5640227,1,0.3169572,1.772978
2465,2017,12112,2.242262,1,0.0825628,0.4459783
2466,2017,8568,1.789558,3,0.3501401,1.676392
2467,2017,22105,4.873031,4,0.1809545,0.8208444
2468,2017,5568,1.481553,2,0.3591954,1.349935
2472,2017,34715,4.036833,13,0.3744779,3.220346
2474,2017,28028,3.05042,6,0.2140716,1.966942
2476,2017,16964,2.092947,8,0.4715869,3.822362
2478,2017,25940,4.643365,11,0.4240555,2.368972
2481,2017,16309,5.641219,7,0.4292109,1.240867
2482,2017,11015,4.212377,4,0.3631412,0.9495827
2492,2017,20128,9.539737,1,0.049682,0.1048247
2493,2017,12027,16.82025,4,0.332585,0.2378086
2494,2017,10301,2.766257,5,0.4853898,1.807497
2532,2017,13337,14.27133,0,0,0
2534,2017,815,2.288279,0,0,0
2535,2017,1757,24.36883,3,1.707456,0.1231081
2536,2017,19191,27.66853,8,0.4168621,0.2891371
2537,2017,6572,12.20338,4,0.6086427,0.327778
2538,2017,3571,4.54021,1,0.2800336,0.2202541
2539,2017,4292,26.81319,4,0.9319665,0.1491803
2540,2017,8294,10.71679,6,0.7234145,0.559869
2542,2017,881,30.70623,0,0,0
2543,2017,909,9.933516,2,2.20022,0.2013386
2553,2017,35,0.2541757,0,0,0
2554,2017,10590,40.35002,5,0.4721435,0.1239157
2556,2017,2869,3.865801,1,0.3485535,0.2586786
2557,2017,4675,7.186453,2,0.4278075,0.2783014
2558,2017,749,1.229599,1,1.335114,0.8132732
2559,2017,4028,5.035161,2,0.4965243,0.3972068
2561,2017,325,0.6145766,0,0,0
2562,2017,3008,3.370997,1,0.3324468,0.2966481
2563,2017,9501,13.21451,5,0.5262604,0.3783718
2564,2017,312,5.747518,1,3.205128,0.1739881
2568,2017,4100,6.652859,3,0.7317073,0.4509339
2571,2017,10940,19.88846,5,0.4570384,0.2514021
2575,2017,2417,24.99794,2,0.8274721,0.0800066
2576,2017,4873,9.731007,1,0.2052124,0.1027643
2584,2017,10,0.0674092,0,0,0
2601,2017,15063,8.59394,12,0.796654,1.396333
2630,2017,2277,4.009922,1,0.4391744,0.2493814
2631,2017,9736,22.03235,2,0.2054232,0.0907756
2632,2017,9923,7.31956,0,0,0
2633,2017,4055,7.557438,3,0.7398273,0.3969599
2635,2017,3301,5.539267,2,0.605877,0.3610586
2637,2017,141,0.6998461,1,7.092198,1.428886
2638,2017,3011,5.934201,2,0.6642311,0.3370293
2639,2017,2949,2.775128,2,0.678196,0.7206875
2641,2017,191,2.084957,0,0,0
2642,2017,4908,13.88118,3,0.6112469,0.21612
2643,2017,0,1.893893,0,NA,0
2644,2017,4393,3.57904,0,0,0
2645,2017,9516,16.6428,3,0.3152585,0.1802581
2646,2017,1806,3.010994,1,0.5537099,0.3321162
2647,2017,121,0.4737003,0,0,0
2648,2017,6589,9.277002,2,0.3035362,0.2155869
2649,2017,14054,23.25244,7,0.4980788,0.3010437
2650,2017,906,1.43968,0,0,0
2651,2017,0,0.0719389,0,NA,0
2652,2017,942,7.998463,1,1.061571,0.125024
2653,2017,5905,12.07299,6,1.016088,0.4969772
2655,2017,3257,6.529032,1,0.307031,0.1531621
2657,2017,2952,9.670399,5,1.693767,0.5170417
2659,2017,1030,2.045456,0,0,0
2660,2017,6657,7.710235,5,0.7510891,0.6484886
2663,2017,96,1.41265,0,0,0
2664,2017,9226,6.936491,6,0.650336,0.8649906
2666,2017,638,12.71703,0,0,0
2667,2017,3075,18.62292,1,0.3252033,0.0536973
2668,2017,2807,15.18728,0,0,0
2669,2017,158,0.937068,0,0,0
2670,2017,1158,2.085263,1,0.8635579,0.4795559
2671,2017,889,2.013564,0,0,0
2672,2017,368,0.4942992,0,0,0
2673,2017,8397,9.996628,1,0.1190902,0.1000337
2675,2017,6314,9.028112,1,0.1583782,0.1107651
2702,2017,4472,16.78901,4,0.8944544,0.2382511
2703,2017,44326,26.78352,14,0.3158417,0.5227095
2713,2017,25,5.056049,0,0,0
2715,2017,3703,11.45433,0,0,0
2717,2017,4703,17.68425,3,0.6378907,0.1696424
2718,2017,6295,10.34753,1,0.1588562,0.0966415
2719,2017,16027,12.38264,3,0.1871841,0.2422747
2720,2017,31126,10.86861,16,0.5140397,1.472129
2721,2017,25985,4.081343,22,0.8466423,5.390382
2723,2017,14236,1.596969,6,0.4214667,3.757118
2724,2017,17391,1.858306,8,0.4600081,4.304996
2725,2017,2453,2.373318,1,0.4076641,0.421351
2726,2017,15804,5.527761,6,0.3796507,1.08543
2738,2017,5065,14.14988,1,0.1974334,0.070672
2739,2017,6245,17.38486,1,0.1601281,0.0575213
2740,2017,43686,5.685579,16,0.36625,2.814137
2743,2017,10443,18.42931,0,0,0
2744,2017,11184,1.290606,4,0.3576538,3.099319
2745,2017,24294,10.32959,6,0.2469746,0.5808555
2746,2017,15637,2.115961,11,0.7034597,5.198585
2747,2017,23568,48.80104,3,0.1272912,0.0614741
2748,2017,11316,22.48911,5,0.4418523,0.2223298
2760,2017,27100,17.95317,6,0.2214022,0.3342029
2762,2017,9000,10.98767,3,0.3333333,0.2730333
2763,2017,1933,0.9027764,2,1.034661,2.215388
2764,2017,3872,10.59734,0,0,0
2766,2017,19515,27.83335,3,0.1537279,0.1077843
2767,2017,14018,23.7986,5,0.3566843,0.2100964
2769,2017,11990,46.93347,4,0.3336113,0.085227
2770,2017,5199,32.15703,1,0.1923447,0.0310974
2771,2017,14957,18.38371,6,0.40115,0.326376
2777,2017,16204,22.65571,3,0.1851395,0.1324169
2779,2017,6630,16.5126,1,0.1508296,0.0605598
2780,2017,50358,33.03942,14,0.2780094,0.4237363
2790,2017,15832,53.68636,4,0.2526529,0.0745068
2791,2017,279,1.054286,0,0,0
2802,2017,903,0.1955295,2,2.214839,10.22864
2804,2017,2076,10.09811,0,0,0
