zcta,mean_income
31733,147233
34202,147164
2561,147152
8720,147109
32561,147097
21774,147089
19342,147032
94305,147022
43082,147009
11581,146981
21057,146960
75028,146953
60657,146948
20191,146913
11001,146902
28277,146869
5456,146845
88114,146840
55442,146820
77079,146820
78734,146818
72135,146777
29492,146753
91210,146747
3862,146712
80132,146701
72718,146680
7430,146566
11767,146540
72201,146510
2873,146505
92675,146490
95663,146456
80027,146454
33133,146442
98059,146436
11766,146419
20639,146407
27517,146329
44333,146299
19352,146293
22042,146271
30097,146240
80109,146220
97212,146186
22209,146169
13355,146163
68022,146103
11705,146099
44023,146083
71339,146069
3810,146067
2127,146037
19067,146014
11552,146000
12777,145946
93013,145945
20137,145883
92618,145826
21152,145797
1590,145793
95117,145782
11940,145747
33704,145715
20155,145710
89144,145694
22302,145679
6033,145648
12540,145643
79707,145641
6754,145549
58005,145509
55105,145506
2048,145497
18441,145422
77030,145401
95672,145374
21012,145352
78255,145342
68532,145341
84049,145336
57440,145303
22033,145295
60622,145243
76848,145188
2038,145175
94508,145175
1907,145173
11702,145133
55415,145070
80528,145048
91006,145040
55327,145032
16332,145000
22030,144972
7432,144936
78023,144934
58422,144924
2874,144921
77976,144871
1950,144787
55902,144775
90742,144773
14774,144772
15015,144772
7977,144723
80921,144720
41091,144642
27518,144573
16870,144568
60189,144490
85249,144446
78209,144416
1612,144399
48138,144382
8512,144370
77098,144360
10532,144280
95136,144240
21771,144220
78006,144216
19301,144165
23120,144155
30024,144142
28270,144099
94602,144087
27310,144039
18340,144030
78620,144005
59931,143950
44233,143923
38138,143922
7976,143896
8560,143882
80602,143877
55447,143874
92121,143870
12421,143844
8041,143833
7086,143819
7981,143787
20690,143736
7718,143717
6248,143706
90720,143690
20677,143680
33767,143679
75025,143652
94523,143603
22203,143601
19382,143574
76052,143572
40245,143514
22152,143495
19348,143491
97219,143475
12159,143451
7463,143420
15228,143418
90245,143417
90035,143414
21087,143394
18349,143379
7456,143230
60072,143196
90045,143151
92676,143137
62536,143132
1879,143130
91741,143102
80127,143070
32814,143004
84093,142996
1564,142987
20853,142987
91423,142969
20901,142956
93105,142920
44032,142907
21093,142900
63127,142878
13087,142833
21163,142828
23039,142816
80138,142791
64082,142784
21156,142781
80113,142762
1721,142742
95013,142722.4865
95053,142722.4865
20626,142663
51542,142661
33478,142657
80951,142652
12533,142643
1982,142625
19046,142602
33051,142599
85718,142567
60512,142561
55345,142556
94534,142552
22125,142528
94947,142513
2474,142503
13064,142474
40513,142469
63341,142447
24077,142441
2139,142427
3036,142404
22151,142395
78260,142384
68336,142376
93314,142366
77478,142362
92590,142335
87544,142293
8008,142268
60124,142254
34688,142242
6758,142231
1701,142222
30338,142210
46055,142195
7605,142178
64157,142173
92807,142164
10511,142140
22554,142129
80465,142115
96734,142091
1824,142073
20190,142059
57038,142050
21114,142018
21047,142015
20852,142000
60190,141965
60089,141941
92624,141903
21077,141900
84124,141877
13152,141874
10969,141872
1519,141840
78731,141835
6378,141832
98834,141817
8402,141796
3070,141791
77459,141790
3046,141778
76035,141770
55127,141737
98121,141701
80134,141668
33498,141666
85383,141638
37135,141620
95441,141612
60304,141585
11948,141580
80129,141580
78257,141527
6438,141502
38754,141429
7701,141420
20630,141411
95742,141363
60646,141360
23076,141290
11363,141278
10530,141248
77316,141232
19081,141203
58426,141154
93619,141144
2713,141141
96141,141083
95227,141039
94530,141031
21784,141006
97125,141000
20880,140988
60067,140930
60187,140886
93012,140885
11732,140845
20850,140835
6074,140807
11572,140803
57540,140800
2655,140777
19345,140738.7586
19367,140738.7586
19375,140738.7586
19383,140738.7586
60642,140724
95701,140724
11954,140699
33548,140668
6762,140656
97035,140650
80454,140631
2556,140568
19944,140554
87743,140547
11788,140524
92881,140515
7081,140489
6447,140471
21105,140456.1034
30041,140429
10965,140428
33609,140410
1833,140384
20005,140309
94080,140295
53939,140283
53029,140273
94587,140262
91390,140209
28031,140174
50261,140174
28104,140169
6850,140163
92384,140144
32259,140100
95123,140056
7631,140046
34145,140015
60302,140000
12041,139990
21051,139986
11975,139968
75077,139943
34240,139913
20637,139910
91107,139883
73650,139866
93441,139827
18947,139784
2021,139759
33626,139754
66610,139748
95448,139747
8809,139734
8042,139729
55346,139717
45242,139693
66227,139689
18976,139685
35406,139683
46106,139677
80516,139647
11752,139641
19460,139548
48130,139537
2739,139473
94950,139467
12531,139466
92867,139457
5766,139449
98010,139437
53058,139389
55374,139286
7979,139268
2770,139242
22936,139192
46037,139179
30030,139157
8812,139142
11561,139105
28117,139097
10036,139050
98335,139032
10573,139027
17957,138998
92059,138976
22025,138963
2176,138914
55378,138897
8848,138892
7094,138865
21037,138865
97133,138826
98109,138804
48348,138773
34236,138770
34211,138759
37934,138753
22202,138745
6333,138736
6467,138718
98045,138706
11738,138696
66408,138676
20115,138626
80908,138590
92688,138562
94538,138560
11510,138551
90263,138543.7059
2111,138477
20603,138473
10989,138464
94706,138386
4021,138373
94949,138362
20045,138329.4091
20052,138329.4091
20053,138329.4091
20057,138329.4091
20064,138329.4091
73173,138324
11735,138313
45054,138287
50641,138274
26521,138246
53018,138212
98028,138209
7005,138199
60515,138119
19438,138090
11590,138088
2537,138083
76109,138081
75009,138052
1095,138040
1505,138007
94619,137988
20037,137933
98394,137930
55054,137926
21044,137909
10547,137879
8827,137873
75082,137836
95630,137832
85258,137817
72527,137769
12186,137689
73165,137680
5067,137651
60464,137617
21658,137616
94576,137594
85050,137593
80209,137520
44122,137505
94597,137495
94066,137476
33031,137469
79749,137466
20611,137463
2113,137447
50033,137433
20685,137425
21155,137422
7866,137400
34990,137393
1908,137379
27358,137347
11554,137328
12582,137319
1937,137300.3667
59745,137274
92691,137225
13066,137207
10471,137185
77386,137181
57027,137149
95658,137121
12516,137103
92649,137070
21031,137055.7174
35242,137054
74137,137047
48370,137031
19473,137029
22932,137026
98107,136986
7757,136979
96056,136958
30517,136920
55044,136920
18036,136917
29708,136901
60119,136896
92648,136863
98607,136847
11238,136836
78056,136832
10541,136810
22003,136803
6032,136792
64156,136779
44140,136773
85018,136749
77523,136738
21015,136737
6757,136727
2871,136715
60604,136690
46374,136682
18051,136677
23116,136658
78132,136658
21755,136612
91915,136542
95618,136525
60423,136515
21654,136497
20636,136489
1545,136486
72212,136447
90405,136441
33473,136418
95715,136407
99019,136403
50226,136388
93109,136375
95020,136348
43221,136298
30328,136288
7052,136267
29838,136266
53005,136259
21710,136216
2118,136215
19380,136205
1520,136199
15668,136159
79012,136150
8085,136129
3811,136120
92606,136099
6071,136082
7716,136075
7075,136053
77433,136008
20715,136006
91711,135984
45065,135978
20650,135976
48178,135976
91356,135952
98144,135912
58042,135853
96779,135808
7421,135790
6472,135768
19003,135760
11714,135750
20765,135732
33029,135728
22079,135713
75024,135699
37212,135689
79537,135677
75058,135675
10307,135651
2054,135612
30326,135598
73131,135588
55449,135572
7737,135565
19008,135552
55341,135502
60525,135491
8852,135465
14068,135435
20628,135380
95819,135357
2144,135332
8825,135291
20872,135248
67837,135241
98275,135237
32312,135219
5262,135217
95110,135188
83001,135184
58560,135181
92656,135114
95374,135096
95377,135084
33547,135075
19341,135072
11931,135059.4048
11973,135059.4048
63025,135049
20684,135043
75244,135026
96744,134989
90039,134981
27514,134955
7762,134949
37064,134928
11769,134885
94923,134882
3032,134790
37145,134786
12060,134750
19063,134722
80137,134682
20779,134678
66207,134650
80305,134649
32779,134614
25442,134596
2333,134594
78258,134594
70124,134587
45434,134566
7842,134555
91207,134534
12211,134516
12148,134507
2132,134479
58079,134434
20198,134423
46040,134417
68135,134415
90703,134381
63122,134357
92602,134349
55088,134345
11801,134340
20010,134308
2359,134281
98103,134281
95607,134277
19103,134268
90024,134236
52068,134224
22943,134216
1880,134194
57020,134193
84109,134185
98038,134178
23229,134175
48382,134172
75201,134162
3753,134160
46530,134146
77546,134135
90808,134132
98012,134098
94112,134095
94973,134071
50229,134057
18912,134056.7419
18913,134056.7419
18935,134056.7419
18936,134056.7419
35741,134056
92672,134029
33715,134028
3233,134011
92270,133992
33410,133970
19064,133939
45226,133934
23128,133933
1754,133920
12077,133920
95128,133920
24176,133889
20624,133884
80005,133871
92604,133870
77580,133854
11756,133826
2367,133798
55082,133755
20012,133752
48103,133740
